FGDC element,FGDC path,FGDC short name,What it means (FGDC),Zenodo JSON target,Mapping rationale / notes,Transform / normalization,Fallback if not supported
Title,idinfo.citation.citeinfo.title,title,Dataset title.,metadata.title,Direct mapping.,Trim whitespace; collapse multiple spaces.,Put in metadata.notes; also attach original FGDC XML as a file.
Originator / Author,idinfo.citation.citeinfo.origin (1..n),origin,Creators/Originators of the dataset.,metadata.creators[].name / .affiliation / .orcid,Direct mapping to creators (one per originator).,"Format as 'Family, Given'; split on comma or last space heuristics; collapse initials; detect ORCID in nearby text if present.",Put in metadata.notes; also attach original FGDC XML as a file.
Publication Date,idinfo.citation.citeinfo.pubdate,pubdate,"Publication date (YYYY, YYYYMMDD).",metadata.publication_date,Direct mapping.,"Parse YYYY[MM[DD]] to ISO YYYY-MM-DD; if only year given, use 'YYYY-01-01' and note the precision loss in notes.",Put in metadata.notes; also attach original FGDC XML as a file.
Edition,idinfo.citation.citeinfo.edition,edition,Edition/version string.,metadata.version (if your integration uses this field),"Zenodo legacy schema doesn't have an explicit 'version' field. If your integration exposes it, map here; otherwise notes.",,"Put in metadata.notes (e.g., 'Edition: v2.1')."
Series Name,idinfo.citation.citeinfo.serinfo.sername,sername,Series that the dataset belongs to.,metadata.partof_title,Closest fit for series in legacy schema.,,metadata.notes like 'Series: <value>'.
Issue Identification,idinfo.citation.citeinfo.serinfo.issue,issue,Issue identifier within the series.,metadata.journal_issue (if upload_type=publication),Only when using a publication-type record; otherwise to notes.,,metadata.notes
Publication Place,idinfo.citation.citeinfo.pubinfo.pubplace,pubplace,Place of publication/release.,metadata.imprint_place,Direct mapping when provided.,,Put in metadata.notes; also attach original FGDC XML as a file.
Publisher,idinfo.citation.citeinfo.pubinfo.publish,publish,Publisher/issuing body.,metadata.imprint_publisher,Direct mapping when provided.,,Put in metadata.notes; also attach original FGDC XML as a file.
Other Citation Details,idinfo.citation.citeinfo.othercit,othercit,Free-text citation details.,metadata.references[],Store as one reference string entry.,,Put in metadata.notes; also attach original FGDC XML as a file.
Online Linkage,idinfo.citation.citeinfo.onlink (1..n),onlink,URL(s) related to the dataset or larger work.,metadata.related_identifiers[],Map each URL to related_identifiers with relation chosen by context. Default to 'isAlternateIdentifier' if it identifies the same dataset; otherwise 'isReferencedBy'/'isDocumentedBy'.,,Put in metadata.notes; also attach original FGDC XML as a file.
Larger Work Citation,idinfo.citation.citeinfo.lworkcit,lworkcit,Citation of larger work the dataset is part of.,metadata.related_identifiers[] (relation='isPartOf'),"If DOI/URL detected, use related_identifiers with relation 'isPartOf'; otherwise put as a free-text item in references[].",,Put in metadata.notes; also attach original FGDC XML as a file.
Abstract,idinfo.descript.abstract,abstract,Abstract/summary.,metadata.description,Direct mapping (HTML allowed).,,Put in metadata.notes; also attach original FGDC XML as a file.
Purpose,idinfo.descript.purpose,purpose,Purpose for which data were collected/created.,metadata.notes,Append under a 'Purpose' heading in notes.,Preserve paragraphs; prefix with 'Purpose: '.,Put in metadata.notes; also attach original FGDC XML as a file.
Supplemental Information,idinfo.descript.supplinf,supplinf,Additional descriptive info.,metadata.notes,Append under a 'Supplemental Information' heading in notes.,,Put in metadata.notes; also attach original FGDC XML as a file.
Currentness Reference,idinfo.timeperd.current,current,"Text describing temporal currency (e.g., 'Ground Condition', 'Publication Date').",metadata.notes,Add under 'Currentness Reference' in notes.,,Put in metadata.notes; also attach original FGDC XML as a file.
Single Date/Time,idinfo.timeperd.timeinfo.sngdate,sngdate,Single date (and optional time) for content.,metadata.notes,Zenodo legacy JSON doesn't expose 'dates'; include as 'Temporal coverage: <date>'.,"If precise time exists, include time and timezone.",Put in metadata.notes; also attach original FGDC XML as a file.
Date Range,idinfo.timeperd.timeinfo.rngdates (begdate/enddate),rngdates,Beginning and ending dates for content validity.,metadata.notes,Summarize as 'Temporal coverage: <YYYY-MM-DD> to <YYYY-MM-DD>'.,,Put in metadata.notes; also attach original FGDC XML as a file.
